No.,Unit weight (KN/m3),Cohesion (Kpa),Internal friction angle (°),Slope angle (°),Slope height (m),Pore water ratio,Slope State,Source
268,26,50,30,45,230,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
269,22.3,20.1,40.2,31,88,0.19,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
270,27,35,42,35,359,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
271,27,32,42.6,33,301,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
272,28.35,33.49,43.16,44.97,413.42,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
273,27.3,10,40,39,470,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
274,28.01,37.36,41.86,9.5,538.1,0.23,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
275,20.4,25,35,20.4,35,0.32,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
276,25,46,47,35,443,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
277,27.3,14,41,31,511,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
278,27,35,37,35,30,0.25,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
279,31.25,27.97,48.23,25.73,91.55,0.21,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
280,27.3,31.5,41,29.7,135,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
281,27,50,42,40,407,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
282,18.12,30.84,32.45,10.57,21.77,0.11,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
283,27.3,31.5,41,29.7,135,0.25,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
284,27.3,16.8,50,28,90.5,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
285,26.78,30.66,43.66,26.79,249.7,0.25,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
286,31.3,68,47,37,213,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
287,19.6,17.8,46.2,29.2,20.2,0.37,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
288,23.8,31,41.5,38.7,23.5,0.31,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
289,21.5,14,38.9,19.3,35,0.27,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
290,26.83,35.46,43.5,13.98,96.14,0.23,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
291,25,48,49,40,330,0.25,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
292,25,46,46,35,42,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
293,31.3,68.6,47,37,305,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
294,26.2,32.26,37.71,44.14,359.04,0.21,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
295,23.1,25.2,36.5,29.2,61.9,0.4,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
296,25,55,45.5,36,299,0.25,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
297,28.51,32.2,43.25,42.34,453.6,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
298,19,50,42,32,26,0.5,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
299,31.3,68.59,47.5,37,262.4,0.25,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
300,23.5,25,49.1,20,115,0.41,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
301,26.62,31.78,42.72,0,51.48,0.4,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
302,27,37.5,37.8,35,320,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
303,30,34.57,43.46,27.38,319.21,0.27,F,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
304,20,35,40,30,25,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
305,27.3,36,50,1,92,0.29,S,"Hu, S., Li, Y., Shan, C., Xue, X., Yang,  huiqin, 2023. Research on Slope Stability Based on Improved PSO-BP Neural Network. Journal of Disaster Prevention and Mitigation Engineering 43, 854–861."
306,20.41,24.9,13,22,10.7,0.35,S,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
307,19.63,11.97,20,22,12.2,0.41,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
308,21.82,8.62,32,28,12.8,0.49,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
309,20.41,33.52,11,16,45.7,0.2,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
310,18.84,15.32,30,25,10.7,0.38,S,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
311,18.84,0,20,20,7.6,0.45,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
312,21.43,0,20,20,61,0.5,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
313,19.06,11.71,28,35,21,0.11,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
314,18.84,14.36,25,20,30.5,0.45,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
315,21.51,6.94,30,31,76.8,0.38,F,"Xiao, K., 2024. Research on slope stability prediction method based on machine learning. MINERAL EXPLORATION 15, 85–92."
316,27.3,10,39,40,480,0.25,S,"Lin, Y., Chen, K., Lin, H., 2024. Quantitative Prediction Model of Slope Stability Based on Machine Learning  Algorithm. Presented at the The 19th National Academic Conference on Geotechnical Engineering Testing, pp. 37–44. https://doi.org/10.26914/c.cnkihy.2024.062174"
317,25,46,35,46,393,0.25,S,"Lin, Y., Chen, K., Lin, H., 2024. Quantitative Prediction Model of Slope Stability Based on Machine Learning  Algorithm. Presented at the The 19th National Academic Conference on Geotechnical Engineering Testing, pp. 37–44. https://doi.org/10.26914/c.cnkihy.2024.062174"
318,25,48,40,49,330,0.25,S,"Lin, Y., Chen, K., Lin, H., 2024. Quantitative Prediction Model of Slope Stability Based on Machine Learning  Algorithm. Presented at the The 19th National Academic Conference on Geotechnical Engineering Testing, pp. 37–44. https://doi.org/10.26914/c.cnkihy.2024.062174"
319,18.84,14.36,25,20,30.5,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
320,18.84,57.46,20,20,30.5,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
321,28.44,29.42,35,35,100,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
322,28.44,39.23,38,35,100,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
323,20.6,16.28,26.5,30,40,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
324,14,11.97,26,30,88,0,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
325,25,120,45,53,120,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
326,26,150.05,45,50,200,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
327,22.4,10,35,30,10,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
328,21.4,10,30.34,30,20,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
329,22,20,36,45,50,0,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
330,16,70,20,40,115,0,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
331,27,26,31,50,92,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
332,27,10,39,41,511,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
333,19.63,11.97,20,22,12.19,0.41,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
334,21.82,8.62,32,28,12.8,0.49,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
335,27,50,40,42,407,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
336,31.3,68.6,37,47,305,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
337,27,35,35,42,359,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
338,27,37.5,35,38,320,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
339,27,32,33,42,289,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
340,27,14,31,41,110,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
341,27,31.5,29.7,41,135,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
342,27,10,39,40,470,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
343,25,16,35,47,443,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
344,25,35,36,44,299,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
345,27.3,10,39,40,480,0.25,F,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
346,18.84,14.36,25,20,30.5,0.45,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
347,22.4,10,35,45,10,0.4,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
348,20,20,36,45,50,0.5,S,"Xing, L., 2024. A Study of Slope Stability Prediction Based on Discriminant Analysis and Machine Learning. GUANGDONG ARCHITECTURE CIVIL ENGINEERING 31, 25–29."
349,23,0,20,20,100,0.3,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
350,22.4,100,45,45,15,0.25,S,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
351,20,20,36,45,50,0.25,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
352,21.5,6.9,30,31,76.8,0.38,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
353,14,11.9,26,30,88,0.45,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
354,18,24,30,45,20.9,0.12,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
355,27.3,26,10,50,92,0.25,S,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
356,20,0.1,36,45,50,0.5,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
357,22,20,36,45,50,0.25,F,"Chen, J., Zhang, Y., Du, M., Huang, H., Xu, Z., Chen, X., 2024. Study on Slope Stability Prediction Based on Optimized Extreme Learning Machine Model. METAL MINE 191–198."
358,26.7,150,33,50,130,0.25,S ,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
359,26.89,150,33,52,120,0.25,S ,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
360,26.57,300,38.7,45.3,80,0.15,F ,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
361,23.04,19.55,9.91,18,90,0.27,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
362,20.03,21.3,10.1,22,136.5,0.32,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
363,20.5,11,8.5,25,37,0.34,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
364,18.8,21,10,15,33,0.32,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
365,19.47,9.61,10.44,13,70,0.3,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
366,19.94,34.72,13.3,12,41.7,0.29,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
367,19.5,18.6,15.1,18,85,0.35,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
368,25,17.6,20.3,40,183,0.28,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
369,19.3,31,15.73,13,50,0.3,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
370,19.32,20.8,14.58,12,40,0.31,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
371,21.2,7.8,22.4,45,25,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
372,27,27.3,29.1,37,184,0.3,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
373,23.75,36.78,22.63,42,43,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
374,27,27.3,29.1,35,150,0.22,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
375,19.97,6.65,36,45,50,0.5,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
376,21.2,24.88,17.29,44,52,0,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
377,20.25,32.4,11.99,45,36,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
378,19.18,12.8,9.45,45,20,0,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
379,19.6,4,20,22,12.2,0.41,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
380,19.08,3.35,10,25,50,0.4,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
381,19.03,3.9,28,35,21,0.11,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
382,17.8,22.2,6.05,40,51.6,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
383,20.8,15.57,8.74,29.7,35,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
384,21.98,6.65,36,45,50,0,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
385,21.8,7.2,17.8,42,41,1,F,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
